1,一,tsi̍t,替,一
2,一,it,,一
3,一刀兩斷,it-to-lióng-tuān,,
4,一下,tsi̍t-ē,,
6,一月日,tsi̍t gue̍h-ji̍t/tsi̍t ge̍h-li̍t,,
7,一日到暗,tsi̍t-ji̍t-kàu-àm/tsi̍t-li̍t-kàu-àm,,
9,一世人,tsi̍t-sì-lâng,,
10,一半,tsi̍t-puànn,,
11,一半个仔,tsi̍t-puànn-ê-á,,
12,一半日仔,tsi̍t-puànn-ji̍t-á/tsi̍t-puànn-li̍t-á,,
13,一四界,tsi̍t-sì-kè/tsi̍t-sì-kuè,,
14,一旦,it-tàn,,
15,一生,it-sing,,
16,一目𥍉仔,tsi̍t-ba̍k-nih-á,,
17,一甲子,tsi̍t kah-tsí,,
18,一百空一,tsi̍t-pah khòng-it,,
19,一來,it--lâi,,
20,一定,it-tīng,,
21,一直,it-ti̍t,,
22,一律,it-lu̍t,,
23,一致,it-tì,,
24,一面,tsi̍t-bīn,,
25,一垺屎,tsi̍t-pû-sái,,
26,一屑仔,tsi̍t-sut-á,,
27,一家伙仔,tsi̍t-ke-hué-á/tsi̍t-ke-hé-á,,
28,一般,it-puann,,
31,一粒一,it-lia̍p-it,,
33,一睏仔,tsi̍t-khùn-á,,
34,一概,it-khài,,
35,一路,tsi̍t-lōo,,
36,一寡,--tsi̍t-kuá,,
37,一寡仔,tsi̍t-kuá-á,,
38,一對時,tsi̍t-tuì-sî,,
39,一霎仔久,tsi̍t-tiap-á-kú,,
41,一點仔,tsi̍t-tiám-á,,
42,一礐屎,tsi̍t-ha̍k-sái,,
43,一觸久仔,tsi̍t-tak-kú-á,,
45,乙,it,,乙
46,丁,ting,,一
47,七,tshit,,一
48,九,káu,白,乙
49,九,kiú,文,乙
50,了,liáu,,亅
51,二,jī/lī,,二
52,人,jîn/lîn,,人
53,人,lâng,替,人
54,入,ji̍p/li̍p,,入
55,八,pat,文,八
56,八,peh/pueh,白,八
57,刀,to,,刀
58,刁,tiau,,刀
59,力,la̍t,白,力
60,力,li̍k,文,力
61,十,tsa̍p,白,十
62,十,si̍p,文,十
63,卜,poh,替,卜
64,卜,pok,,卜
65,又,iū,,又
66,十一哥,tsa̍p-it-ko,,
67,了了,liáu-liáu,,
68,了了,--liáu-liáu,,
69,人人,lâng-lâng,,
70,十二分,tsa̍p-jī-hun/tsa̍p-lī-hun,,
71,十二生相,tsa̍p-jī senn-siùnn/tsa̍p-lī sinn-siùnn,,
72,十二指腸,si̍p-jī-tsí-tn̂g/si̍p-lī-tsí-tn̂g,,
73,二九暝,Jī-káu-mê/Lī-káu-mî,,
74,十八骰仔,si̍p-pat-tâu-á,,
75,十八變,tsa̍p-peh-piàn/tsa̍p-pueh-piàn,,
76,七夕,tshit-sia̍h,,
77,了工,liáu-kang,,
78,人工,lâng-kang,,
79,人才,lâng-tsâi,,
80,入土,ji̍p-thóo/li̍p-thóo,,
81,刁工,thiau-kang,,
82,人中,jîn-tiong/lîn-tiong,,
83,七孔,tshit-khóng,,
84,九孔,káu-kháng,,
85,二手,jī-tshiú/lī-tshiú,,
86,入木,ji̍p-bo̍k/li̍p-bo̍k,,
87,八仙,pat-sian,,
88,刀仔,to-á,,
89,八仙桌,pat-sian-toh,,
90,八仙綵,pat-sian-tshái,,
91,刁古董,tiau-kóo-tóng,,
92,了本,liáu-pún,,
93,人民,jîn-bîn/lîn-bîn,,
94,人生,jîn-sing/lîn-sing,,
95,刀石,to-tsio̍h,,
96,十全,tsa̍p-tsn̂g,,
97,十全,si̍p-tsuân,,
98,八字,peh-jī/pueh-lī,,
99,七字仔,tshit-jī-á/tshit-lī-á,,
100,十字架,si̍p-jī-kè/si̍p-lī-kè,,
101,八字跤,pat-jī-kha/pat-lī-kha,,
102,十字路,si̍p-jī-lōo/si̍p-lī-lōo,,
103,七早八早,tshit-tsá-peh-tsá/tshit-tsá-pueh-tsá,,
104,入耳,ji̍p-ní/li̍p-ní,,
105,刀肉,to-bah,,
106,七老八老,tshit-lāu-peh-lāu/tshit-lāu-pueh-lāu,,
107,了尾仔囝,liáu-bué-á-kiánn/liáu-bé-á-kiánn,,
108,二步七仔,--jī-pōo-tshit-á/--lī-pōo-tshit-á,,
109,八角,peh-kak/pueh-kak,,
110,十足,tsa̍p-tsiok,,
111,九芎仔,kiú-kiong-á,,
112,人事,jîn-sū/lîn-sū,,
113,八卦,pat-kuà,,
114,卜卦,pok-kuà,,
115,二房,jī-pâng/lī-pâng,,
116,人物,jîn-bu̍t/lîn-bu̍t,,
117,十花五色,tsa̍p-hue-gōo-sik,,
118,入門,ji̍p-mn̂g/li̍p-mn̂g,,
119,人客,lâng-kheh,,
120,了後,liáu-āu,,
121,七星,tshit-tshenn/tshit-tshinn,,
122,二指,jī-tsáinn/lī-tsáinn,,
123,刁持,tiau-tî,,
124,刁故意,tiau-kòo-ì,,
125,刀柄,to-pènn/to-pìnn,,
126,八珍,pat-tin,,
127,人面,lâng-bīn,,
128,人倫,jîn-lûn/lîn-lûn,,
129,人員,jîn-uân/lîn-uân,,
130,入厝,ji̍p-tshù/li̍p-tshù,,
131,七娘媽,Tshit-niû-má,,
132,七娘媽生,Tshit-niû-má-senn/Tshit-niû-má-sinn,,
133,人家,jîn-ke/lîn-ke,,
134,人家厝仔,jîn-ke-tshù-á/lîn-ke-tshù-á,,
135,八家將,pat-ka-tsiòng,,
136,人格,jîn-keh/lîn-keh,,
137,人氣,jîn-khì/lîn-khì,,
138,刀砧,to-tiam,,
139,人馬,jîn-má/lîn-má,,
140,入院,ji̍p-īnn/li̍p-īnn,,
141,人參,jîn-sim/lîn-sim,,
142,人情,jîn-tsîng/lîn-tsîng,,
143,人情世事,jîn-tsîng-sè-sū/lîn-tsîng-sè-sū,,
144,入教,ji̍p-kàu/li̍p-kàu,,
145,人望,jîn-bōng/lîn-bōng,,
146,人造,jîn-tsō/lîn-tsō,,
147,刀喙,to-tshuì,,
149,入場,ji̍p-tiûnn/li̍p-tiûnn,,
150,了然,liáu-jiân/liáu-liân,,
151,力量,li̍k-liōng,,
152,刁意故,thiau-ì-kòo,,
153,七爺,Tshit-iâ,,
154,刀銎,to-khing,,
155,又閣,iū-koh,,
156,人影,lâng-iánn,,
157,九層塔,káu-tsàn-thah,,
158,人範,lâng-pān,,
159,人緣,lâng-iân,,
160,入學,ji̍p-o̍h/li̍p-o̍h,,
161,入選,ji̍p-suán/li̍p-suán,,
162,了錢,liáu-tsînn,,
163,人頭,lâng-thâu,,
164,力頭,la̍t-thâu,,
165,入殮,ji̍p-liām/li̍p-liām,,
166,入聲,ji̍p-siann/li̍p-siann,,
167,刁難,thiau-lân,,
168,人權,jîn-khuân/lîn-khuân,,
169,丈,tn̄g,白,一
170,三,sam,文,一
171,三,sann,白,一
172,上,tsiūnn,白,一
173,上,tshiūnn,白,一
174,上,siōng,文,一
175,下,ē,白,一
176,下,hā,文,一
177,下,hē,白,一
178,低,kē,替,人
179,个,ê,,｜
180,丸,uân,,丶
181,久,kú,白,丿
182,么,io,,丿
183,乞,khit,,乙
184,也,iā,,乙
185,亡,bông,,亠
186,凡,huân,,丶
187,凡,huān,,丶
188,千,tshian,文,十
189,千,tshing,白,十
190,叉,tshe,,又
191,口,kháu,白,口
192,土,thóo,,土
193,士,sū,,士
194,大,ta,替,大
195,大,tāi,文,大
196,大,tuā,白,大
197,女,lí/lú,白,女
198,女,lú,文,女
199,子,tsí,白,子
